Geneid,Length,SRR11908726.host.sorted.bam,SRR11908728.host.sorted.bam,SRR11908729.host.sorted.bam,SRR11908731.host.sorted.bam,SRR11908732.host.sorted.bam,SRR11908734.host.sorted.bam,SRR11908736.host.sorted.bam,SRR11908739.host.sorted.bam,SRR11908741.host.sorted.bam,SRR11908742.host.sorted.bam,SRR11908746.host.sorted.bam,SRR11908749.host.sorted.bam,SRR11908751.host.sorted.bam,SRR11908752.host.sorted.bam,SRR11908753.host.sorted.bam,SRR11908757.host.sorted.bam,SRR11908758.host.sorted.bam,SRR11908760.host.sorted.bam,SRR11908761.host.sorted.bam,SRR11908762.host.sorted.bam,SRR11908763.host.sorted.bam,SRR11908764.host.sorted.bam,SRR11908767.host.sorted.bam,SRR11908768.host.sorted.bam,SRR11908769.host.sorted.bam,SRR11908770.host.sorted.bam,SRR11908771.host.sorted.bam,SRR11908773.host.sorted.bam,SRR11908776.host.sorted.bam,SRR11908779.host.sorted.bam,SRR11908781.host.sorted.bam,SRR11908786.host.sorted.bam,SRR11908788.host.sorted.bam,SRR11908789.host.sorted.bam,SRR11908790.host.sorted.bam,SRR11908791.host.sorted.bam,SRR11908793.host.sorted.bam
A1BG,3382,71,109,38,63,49,71,64,53,42,58,31,44,42,61,62,43,128,56,118,39,45,28,57,24,199,35,95,46,80,138,31,124,44,24,132,163,28
A1BG-AS1,2130,11,40,11,12,13,32,16,32,15,18,4,16,14,14,13,16,36,10,38,10,6,7,27,4,46,14,5,13,45,37,13,35,18,3,31,47,6
A1CF,9481,0,3,4,34,1,1,1,1,0,0,0,2,1,0,0,1,4,5,3,2,1,0,1,2,0,0,0,1,2,2,0,1,0,1,8,0,0
A2M,5208,7165,16067,2254,4199,5455,2395,3554,7086,3259,1188,2691,5033,1284,7293,1659,2822,19022,7866,2823,4180,2327,3205,1615,851,1978,2715,1239,3088,4581,6805,2086,3597,1658,1100,8647,3384,4845
A2M-AS1,2300,16,49,10,11,2,14,10,12,8,8,12,7,12,16,9,10,55,9,6,7,10,7,35,1,4,17,4,18,4,25,12,17,1,2,20,38,6
A2ML1,6832,104,497,164,22,5469,1040,923,57,1198,101,169,12369,629,13656,10203,5223,28204,54,960,11677,2666,6723,179,1289,753,23504,15941,16727,529,289,2995,2075,4198,2360,111,509,24510
A2MP1,1201,0,4,3,1,2,5,3,0,3,2,2,1,2,2,0,2,14,0,1,2,1,0,9,0,0,1,1,3,2,0,1,4,1,0,3,6,1
A3GALT2,1023,9,34,72,58,22,57,16,39,17,22,41,34,69,46,76,28,65,52,29,33,47,57,24,15,12,14,1,25,47,34,32,89,31,62,18,32,15
A4GALT,4266,2862,1085,1048,156,2045,497,944,1366,853,645,3811,314,859,910,892,1152,1094,976,621,1153,466,610,727,691,2342,1492,520,432,1313,916,207,299,100,500,343,965,2077
A4GNT,2068,3,6,3,2,1,2,1,3,1,15,0,2,0,0,2,0,6,0,9,2,1,4,4,1,5,2,0,2,1,3,0,4,2,13,2,20,3
AA06,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,1815,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS_1,1815,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AACS,7750,570,737,817,1778,1102,851,869,909,1133,559,2108,804,666,1347,1734,2065,2318,873,1169,1674,1115,1211,1209,1942,1697,1647,870,1537,836,797,569,1930,1246,1523,970,1695,1023
AACSP1,2825,22,2,0,1,10,52,13,1,25,7,78,28,3,31,10,11,47,2,6,15,9,5,1,3,3,11,3,135,0,36,4,0,3,9,1,5,12
AADAC,1563,10,7,0,2,1,0,0,0,7,6,23,2,0,2,1,0,10,0,1,0,0,2,1,1,1,5,4,0,0,1,1,0,2,1,1,2,6
AADACL2,5060,0,0,0,0,0,0,0,4,1,0,4,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0
